movement_pattern,exercise_id,exercise_name,muscle_group,safety_role,suggested_contraindications,suggested_pain_limitation_tags,suggested_regressions,suggested_equivalent_substitutes,suggested_progressions,suggested_equipment,reviewer_status,reviewer_notes
"joelho_dominante","afcab7c3-ba4f-4178-946f-eea2e6969e93","Leg Press 45","quadríceps","machine_stable_alternative","","knee_pain; dynamic_valgus","Leg Press 45 Unilateral; Cadeira Extensora","Leg Press Horizontal; Agachamento Hack","Progredir reps antes de carga; ROM indolor","machine","needs_review","Opção segura de joelho-dominante; limitar ROM se dor"
"joelho_dominante","619df5e8-b0fc-4229-ad64-b185e41903ee","Cadeira Extensora","quadríceps","machine_isolation","","knee_pain","Cadeira Extensora Unilateral; Extensora Parcial + Completa Crescente","Leg Press 45","Progredir reps antes de carga; sem dor patelar","machine","needs_review","Cadeia aberta — monitorar dor patelofemoral"
"joelho_dominante","f10d42bd-7127-4b92-9220-bea99cd5d1ee","Leg Press Horizontal","quadríceps","machine_stable_alternative","","knee_pain; dynamic_valgus","Leg Press Horizontal Unilateral","Leg Press 45; Agachamento Hack","Progredir reps antes de carga; ROM indolor","machine","needs_review","Joelho alinhado ao pé; controlar valgo"
"quadril_dominante","9a07c179-37e8-4d8f-9ae9-0f399b1624b2","Mesa Flexora","posterior de coxa","machine_stable","","","Mesa Flexora Unilateral; Cadeira Flexora","Cadeira Flexora; Flexora na Bola","Progredir reps antes de carga; controlar excêntrica","machine","needs_review","Baixo estresse lombar"
"quadril_dominante","961f2121-1053-4f1f-9376-86f21cb9e68b","Cadeira Flexora","posterior de coxa","machine_stable","","","Cadeira Flexora Unilateral","Mesa Flexora","Progredir reps antes de carga","machine","needs_review","Baixo estresse lombar"
"quadril_dominante","d2e55bc6-411a-4ca9-8b6f-8fb86e8099b8","Elevação Pélvica Máquina","glúteo","machine_hip_hinge_supported","","low_back_pain","Elevação Pélvica Unilateral Máquina; Extensão de Quadril Banco Romano","Elevação Pélvica Barra","Progredir reps antes de carga; pelve neutra","machine","needs_review","Hip thrust apoiado — baixa carga axial"
"empurrar_vertical","e1ff0905-955b-4bf7-95c6-1b72dbfa34ff","Desenvolvimento Máquina","ombro","machine_overhead_safer","","shoulder_pain; overhead_limitation","Elevação Lateral Máquina; Face Pull Corda","Desenvolvimento Neutro Máquina; Desenvolvimento Unilateral Landmine","Progredir reps antes de carga; ROM indolor","machine","needs_review","Variante guiada — mais estável que overhead livre"
"empurrar_vertical","7f9fbd65-d234-4b84-b198-faca46343915","Desenvolvimento Neutro Máquina","ombro","machine_overhead_safer","","shoulder_pain; overhead_limitation","Elevação Lateral Máquina; Face Pull Corda","Desenvolvimento Máquina","Progredir reps antes de carga; ROM indolor","machine","needs_review","Pegada neutra poupa ombro"
"empurrar_vertical","e54dd5b2-99cf-4648-9885-6cd19d03f9d9","Desenvolvimento Unilateral Landmine","ombro","landmine_overhead_safer","","shoulder_pain; overhead_limitation","Elevação Lateral Halteres; Face Pull Corda","Desenvolvimento Máquina","Progredir reps antes de carga; sem dor","barbell","needs_review","Ângulo landmine reduz demanda overhead"
"empurrar_horizontal","05f95cd1-0819-458e-ba2a-f4431d7816e5","Supino Reto Máquina","peitoral","machine_stable_press","","shoulder_pain; shoulder_impingement","Voador; Crucifixo Reto Halteres","Supino Inclinado Máquina; Supino Reto Halteres","Progredir reps antes de carga; escápulas firmes","machine","needs_review","Guiado — controle escapular, ROM indolor"
"empurrar_horizontal","be15aca9-9af9-4e55-8c54-288689feb7cd","Supino Inclinado Máquina","peitoral","machine_stable_press","","shoulder_pain; shoulder_impingement","Voador; Crucifixo Inclinado Halteres","Supino Reto Máquina","Progredir reps antes de carga; escápulas firmes","machine","needs_review","Guiado — controle escapular"
"empurrar_horizontal","316c9693-ce56-4b3b-b31e-f4316f75e70c","Voador","peitoral","machine_isolation","","shoulder_pain","Crucifixo Reto Halteres","Supino Reto Máquina","Progredir reps antes de carga; sem dor","machine","needs_review","Peck deck — isolado estável de peito"
"puxar_horizontal","0db0d50d-5d72-4ade-97f2-3ec1c64218d8","Remada Baixa Neutra","costas","cable_row_neutral","","shoulder_pain; low_back_pain","Remada Polia Média Corda; Remada Polia Alta","Remada Cavalinho Máquina Neutra","Progredir reps antes de carga; tronco estável","cable","needs_review","Pegada neutra; manter tronco estável (não jogar lombar)"
"puxar_horizontal","f0705159-aa86-407c-a27e-170374012831","Remada Cavalinho Máquina Neutra","costas","machine_supported_row","","shoulder_pain","Remada Baixa Neutra","Remada Polia Média Corda","Progredir reps antes de carga","machine","needs_review","Apoiada no peito — tira a lombar"
"puxar_horizontal","0a011510-cb86-42bd-b96b-692c38e3ee4c","Remada Polia Média Corda","costas","cable_row","","shoulder_pain","Remada Baixa Neutra","Remada Cavalinho Máquina Neutra","Progredir reps antes de carga","cable","needs_review","Corda — pegada neutra, controle escapular"
"puxar_vertical","3b59a032-f393-479c-b31f-e9059390c3da","Puxada Neutra Polia","costas","lat_pulldown_neutral","","shoulder_pain; cervical_pain","Graviton Neutro; Puxada Neutra Unilateral","Pulldown barra","Progredir reps antes de carga; sem dor","cable","needs_review","Pegada neutra poupa ombro"
"puxar_vertical","afbe8bbe-2cf2-4404-a609-7c9647ec3eeb","Pulldown barra","costas","lat_pulldown","","shoulder_pain; cervical_pain","Graviton Pronado; Pulldown Corda","Puxada Neutra Polia","Progredir reps antes de carga; sem dor","cable","needs_review","Evitar atrás da nuca; puxar à frente"
"puxar_vertical","3bcfa19a-aad9-4cad-aae5-a11711f8d431","Graviton Neutro","costas","assisted_regression","","shoulder_pain","(já assistido — regressão da barra)","Puxada Neutra Polia","Reduzir assistência progressivamente","machine","needs_review","Barra assistida — ótima regressão de puxada/barra"
"core","e5ffe3e1-2757-4ed7-ba87-a745d9a96c5d","Prancha Frontal","abdômen","anti_extension_core","","","Prancha Alta (joelhos apoiados)","Perdigueiro Alternado","Aumentar tempo sob tensão; depois alavanca","bodyweight","needs_review","Anti-extensão — base segura de core"
"core","44f1aea6-0474-49fb-ad57-2092f121036f","Prancha Lateral","abdômen","anti_lateral_flexion_core","","","Prancha Lateral com joelhos apoiados","Prancha de Copenhagen","Aumentar tempo; depois adicionar abdução","bodyweight","needs_review","Anti-flexão lateral"
"core","f6691114-2900-44af-909e-e966957f1372","Perdigueiro Alternado","abdômen","anti_rotation_core","","","(corretivo leve — base)","Prancha Frontal","Aumentar amplitude/controle; depois carga leve","bodyweight","needs_review","Bird-dog anti-rotação — corretivo lombo-pélvico"
"unilateral","75be10d2-4087-4b4d-9a88-c04f9bdb1a30","Afundo Halteres","quadríceps","unilateral_balance","","knee_pain; dynamic_valgus","Step Up Halteres; Agachamento Búlgaro com Apoio","Passada Halteres","Progredir carga só com equilíbrio e sem dor","dumbbells","needs_review","Demanda de equilíbrio — iniciar com apoio se necessário"
"unilateral","d91a1c63-de51-4a7f-a42c-23f5911c18f9","Agachamento Búlgaro com Apoio","quadríceps","unilateral_supported","","knee_pain; dynamic_valgus","Step Up Halteres","Afundo Halteres","Progredir reps antes de carga; sem dor","dumbbells","needs_review","Apoio reduz demanda de equilíbrio"
"unilateral","88194a44-bee6-4693-a1a6-73d5e80aaaff","Step Up Halteres","quadríceps","unilateral_step","","knee_pain; dynamic_valgus","(reduzir altura do step)","Afundo Halteres","Aumentar altura do step / carga sem dor","dumbbells","needs_review","Regredir pela altura do step; joelho alinhado"
"isolado_acessorio","15968ffd-1b58-4859-b181-a8b9485a853c","Elevação Lateral Halteres","ombro","isolation_low_risk","","shoulder_pain","Elevação Lateral Máquina","Elevação Lateral Polia","Progredir reps antes de carga","dumbbells","needs_review","Isolado de deltoide — bom acessório/substituto"
"isolado_acessorio","991faa49-4ce9-4bb9-975b-315f78efa964","Rosca Direta Halteres","bíceps","isolation_low_risk","","wrist_pain","Rosca Direta Polia Corda","Rosca Direta Barra W","Progredir reps antes de carga","dumbbells","needs_review","Baixo risco; punho neutro se dor de punho"
"isolado_acessorio","3cc40978-bc88-4d1c-88b4-670d761db741","Tríceps Polia Corda","tríceps","isolation_low_risk","","wrist_pain","Tríceps Polia Barra","Tríceps Testa Halteres Banco Reto","Progredir reps antes de carga","cable","needs_review","Baixo risco; corda poupa punho/cotovelo"
